Poste,Entreprise,Ville,Lien,Source,Date,Type
Product Data Scientist Intern,Criteo,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4390810974,linkedin,31/05/2026,Stage
Stage - Analyste Hedge Funds H/F,BNP Paribas Asset Management,"Puteaux, Île-de-France, France",https://www.linkedin.com/jobs/view/4419893505,linkedin,31/05/2026,Stage
Stage – Assistant.e analyse performance économique F/H,Louis Vuitton,"Sarras, Auvergne-Rhône-Alpes, France",https://www.linkedin.com/jobs/view/4379069580,linkedin,31/05/2026,Stage
"PROJECT, BUSINESS ANALYSIS & TESTING INTERN",Allianz Trade en France,,https://www.linkedin.com/jobs/view/4419473705,linkedin,31/05/2026,Stage
Stage - Global Production Planning,Lacoste,"Saint-André-les-Vergers, Grand Est, France",https://www.linkedin.com/jobs/view/4410016174,linkedin,31/05/2026,Stage
QUANTITATIVE CONSULTANT INTERN - PARIS,Management Solutions,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4417220405,linkedin,31/05/2026,Stage
INTERNSHIP - AI SOFTWARE ENGINEER,Trekea Mobile,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4418833111,linkedin,31/05/2026,Stage
Stage data scientist F/H,Valiuz,"Lille, Hauts-de-France, France",https://www.linkedin.com/jobs/view/4391235659,linkedin,31/03/2026,Stage
Data & AI Engineer - Stage,Naboo,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4392147227,linkedin,31/03/2026,Stage
Stagiaire Data Scientist - IA F/H - Air France KLM,AEROCONTACT,"Roissy-en-France, Île-de-France, France",https://www.linkedin.com/jobs/view/4392960727,linkedin,31/03/2026,Stage
Stage Software Engineer - IT (H/F),Wink,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4391931079,linkedin,31/03/2026,Stage
Stage - Data Engineer Statistiques F/H,padoa,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4392115017,linkedin,31/03/2026,Stage
Software Engineer - Internship,Aletiq,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4392198597,linkedin,31/03/2026,Stage
STAGE - Business Intelligence Analyst H/F - Juillet 2026,Fleury Michon,"Pouzauges, Pays de la Loire, France",https://www.linkedin.com/jobs/view/4393572900,linkedin,31/03/2026,Stage
Stage Software Engineer - IT (H/F) - Canada,Wink,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4391918354,linkedin,31/03/2026,Stage
Stage Business Analyst Data/Business Intelligence H/F H/F,La Vie Mutualiste Groupama,"Pechbonnieu, Occitanie, France",https://www.linkedin.com/jobs/view/4417904747,linkedin,30/05/2026,Stage
Business Analyst Assistant (Fraud Management) – Stage (6 mois) Juillet 2026 (F/H/NB),Ubisoft,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4417230500,linkedin,30/05/2026,Stage
Stage Innovation : Ingénieur Intelligence Artificielle NLP / Traitement de données audio,ALTEN,"Toulouse, Occitanie, France",https://www.linkedin.com/jobs/view/4418573715,linkedin,30/05/2026,Stage
Stage en machine Learning pour la prédiction décennale des sécheresses,SUEZ,"Villenave-d’Ornon, Nouvelle-Aquitaine, France",https://www.linkedin.com/jobs/view/4421235845,linkedin,30/05/2026,Stage
PRODUCT ENGINEER (STAGE),STATION F,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4417888120,linkedin,30/05/2026,Stage
Fluids System Engineer First Stage,MaiaSpace,"Rezé, Pays de la Loire, France",https://www.linkedin.com/jobs/view/4420971114,linkedin,30/05/2026,Stage
Stage Business Analyst Data/Business Intelligence H/F H/F,Groupama Assurances Mutuelles,"Pechbonnieu, Occitanie, France",https://www.linkedin.com/jobs/view/4419303264,linkedin,30/05/2026,Stage
Internship September 2026 - Agentic AI for Semi-Automating the Data Science Workflow,Ekimetrics,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4420481679,linkedin,30/05/2026,Stage
Stagiaire IA & Ops (H/F),Climb,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4419075606,linkedin,30/05/2026,Stage
Stage - Marketing Product Owner & Data Analyst H/F,Verallia,"Courbevoie, Île-de-France, France",https://www.linkedin.com/jobs/view/4417654911,linkedin,30/05/2026,Stage
KFC France – Stage 6 mois (Juillet 2026) - Stage Junior Business Analyst (H/F),KFC France,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4406526784,linkedin,30/04/2026,Stage
Stage Data Scientist - IT (H/F) - Canada,EIC - Experience Internship Canada,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4406219536,linkedin,30/04/2026,Stage
Copy of STAGE -Assistant Business Analyst & Contrôleur de gestion TR Europe New Ventures- juillet 2026/6 mois,LVMH,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4405814172,linkedin,30/04/2026,Stage
Stage Intelligence Artificielle & Transformation Digitale – H/F,Devoteam,"Levallois-Perret, Île-de-France, France",https://www.linkedin.com/jobs/view/4406518981,linkedin,30/04/2026,Stage
Stage Data Scientist - IT (H/F) - Canada,EIC - Experience Internship Canada,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4406231387,linkedin,30/04/2026,Stage
Stage - Data Analyst - H/F,BNP Paribas,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4408015373,linkedin,30/04/2026,Stage
